TAG_CODESPACE_AND_TAG_ID,TAG_ID,,,,,UTC_RELEASE_DATE_TIME,EST_TAG_LIFE,UTC_EXPIRATION_DATE_TIME,TAG_MODEL,TAG_TYPE,,,,,COMMON_NAME,SCIENTIFIC_NAME,RELEASE_LOCATION,,,,,,TAG_IMPLANT_TYPE,COMMENTS
A69-9002-5760,5760,,,,,7/17/2011,81,10/6/2011,V9-AP,Pressure,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5759,5759,,,,,7/17/2011,81,10/6/2011,V9-AP,Acceleration,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5758,5758,,,,,7/19/2011,81,10/8/2011,V9-AP,Pressure,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5757,5757,,,,,7/19/2011,81,10/8/2011,V9-AP,Acceleration,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5756,5756,,,,,7/13/2011,81,10/2/2011,V9-AP,Pressure,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5755,5755,,,,,7/13/2011,81,10/2/2011,V9-AP,Acceleration,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5754,5754,,,,,7/13/2011,81,10/2/2011,V9-AP,Pressure,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5753,5753,,,,,7/13/2011,81,10/2/2011,V9-AP,Acceleration,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5752,5752,,,,,7/20/2011,81,10/9/2011,V9-AP,Pressure,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-5751,5751,,,,,7/20/2011,81,10/9/2011,V9-AP,Acceleration,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-3580,3580,,,,,4/5/2011,727,4/1/2013,,,A69-9002,VCU/USFWS,Matt Balazik,Albert Spells,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,"James River, Virginia",,,,,,Internal,
A69-9002-3487,3487,,,,,10/24/2011,221,6/1/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3486,3486,,,,,10/30/2011,221,6/7/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3485,3485,,,,,10/28/2011,221,6/5/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3484,3484,,,,,11/2/2011,221,6/10/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3483,3483,,,,,10/21/2011,221,5/29/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3482,3482,,,,,11/2/2011,221,6/10/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3481,3481,,,,,11/5/2011,221,6/13/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3480,3480,,,,,11/3/2011,221,6/11/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3479,3479,,,,,11/5/2011,221,6/13/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3478,3478,,,,,10/30/2011,221,6/7/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3477,3477,,,,,11/2/2011,221,6/10/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3476,3476,,,,,11/3/2011,221,6/11/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3475,3475,,,,,11/11/2011,221,6/19/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3474,3474,,,,,10/21/2011,221,5/29/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3473,3473,,,,,10/30/2011,221,6/7/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3472,3472,,,,,10/28/2011,221,6/5/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3471,3471,,,,,11/6/2011,221,6/14/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3470,3470,,,,,10/24/2011,221,6/1/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3469,3469,,,,,11/11/2011,221,6/19/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3468,3468,,,,,10/27/2011,221,6/4/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3467,3467,,,,,10/21/2011,221,5/29/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3466,3466,,,,,11/5/2011,221,6/13/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3465,3465,,,,,11/8/2011,221,6/16/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3464,3464,,,,,11/3/2011,221,6/11/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3463,3463,,,,,10/24/2011,221,6/1/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3462,3462,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3461,3461,,,,,11/17/2011,221,6/25/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3460,3460,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3459,3459,,,,,11/11/2011,221,6/19/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3458,3458,,,,,11/12/2011,221,6/20/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3457,3457,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
